Reaction,S1K1,S1K1_FC5,fc,pval,subSystem
r1578,484.5095,-522.4316,-26.55287657,0,"Transport, extracellular"
r1579,-609.5975,215.7273,2.095423304,0,"Transport, extracellular"
r1580,268.41324,-370.7859,-6.243848157,0,"Transport, extracellular"
r1583,-276.30063,501.1771,3.457354635,0,"Transport, extracellular"
r1584,411.9036,-273.3563,-4.946035436,0,"Transport, extracellular"
r1585,226.0462,-75.10325,-1.995120991,0,"Transport, extracellular"
r1586,1.9464785,-293.65854,-1.013345204,0,"Transport, extracellular"
r1587,-412.3473,476.72406,13.81044464,0,"Transport, extracellular"
r1588,45.62569,884.3926,0.901882165,0,"Transport, extracellular"
r1589,-62.480682,26.62899,2.485508153,0,"Transport, extracellular"
r1590,240.39398,-107.85047,-2.627397534,0,"Transport, extracellular"
r1591,-182.88881,41.37545,1.584756828,0,"Transport, extracellular"
r1592,-33.677937,-401.34167,-0.845165885,0,"Transport, extracellular"
r1594,834.22784,-64.38136,-1.167257655,0,"Transport, extracellular"
r1595,-2.329314,-39.454624,-0.888506726,0,"Transport, extracellular"
r1596,-19.835846,-615.62726,-0.937570425,0,"Transport, extracellular"
r1598,-135.89417,120.54725,16.70964088,0,"Transport, extracellular"
r1599,808.10175,-380.81503,-2.78247993,0,"Transport, extracellular"
