Reaction,S1K,S1K_FC5,fc,pval,subSystem
PI345P3Pn,7.291385,76.0407,0.825004139,0,Inositol phosphate metabolism
PI45P3Kn,7.291385,76.0407,0.825004139,0,Inositol phosphate metabolism
PIter,205.15051,-422.6624,-2.886338431,0,"Transport, endoplasmic reticular"
PRISTANALtx,3.1809387,127.391335,0.951276969,0,"Transport, peroxisomal"
PROSTGD2t,-212.31793,87.394356,2.399165129,0,"Transport, extracellular"
PROSTGF2t,-267.4825,466.54944,3.687362696,0,"Transport, extracellular"
PROSTGI2tr,-174.23828,58.927593,2.022066525,0,"Transport, endoplasmic reticular"
RAI3,-230.56058,30.014368,1.299326242,0,Vitamin A metabolism
RDH4,-23.419662,-327.7811,-0.866630917,0,Vitamin A metabolism
RETI3,-23.419662,-327.7811,-0.866630917,0,Vitamin A metabolism
SERGLNexR,102.85898,-184.30443,-3.525837276,0,"Transport, extracellular"
SERGLYexR,-187.74628,97.19591,3.146780979,0,"Transport, extracellular"
SFGTH,121.94335,9.896543,-0.849870302,0,Tyrosine metabolism
SUCOAS1m,26.964869,-931.358,-1.059630857,0,Citric acid cycle
THRCYSNaEx,15.384007,412.76474,0.928137088,0,"Transport, extracellular"
THYMt,-128.83159,64.47261,3.003531009,0,"Transport, extracellular"
TMDPP,155.85397,-46.066376,-1.839190871,0,Pyrimidine catabolism
TMNDNCCPT2,24.849236,1.9639115,-0.853511304,0,Fatty acid oxidation
TSULt4_3,-6.077774,-89.477615,-0.872790543,0,"Transport, extracellular"
TTDCAtr,9.352256,-113.13819,-1.180222035,0,"Transport, extracellular"
TYRt,-2.8914309,56.738705,1.107393772,0,"Transport, extracellular"
UGT1A10r,1.6401863,-2.2210207,-6.647690547,0,Steroid metabolism
UMPK3,526.6492,-360.06516,-5.322925839,0,Nucleotide interconversion
UMPK6n,-79.17566,210.32295,2.207430978,0,Nucleotide interconversion
UMPK7,-430.99536,-2.5899084,0.988053522,0,Nucleotide interconversion
URAt,-63.922363,-825.7631,-0.856303465,0,"Transport, extracellular"
VALtec,-565.9689,138.10506,1.645556139,0,"Transport, extracellular"
r0074,-869.663,261.28882,1.858974156,0,Urea cycle
r0242,-15.8727455,199.25905,1.173107212,0,Miscellaneous
r0245,211.7255,8.063569,-0.926624482,0,Glycerophospholipid metabolism
r0276,217.69415,4.134985,-0.962719194,0,Purine catabolism
r0434,-125.70595,174.24069,6.180040146,0,Fatty acid oxidation
r0475,-51.58408,361.07944,1.333343161,0,Nucleotide interconversion
r0552,114.76046,-192.69666,-3.944984685,0,"Glycine, serine, alanine, and threonine metabolism"
