Reaction,fc,pval,Clus,Disp,subSystem
DLNLCGCPT2,0.430474885896748,0,4.4200559534722546,11.101844113856192,Fatty acid oxidation
DLNLCGt,0.4218274662579373,0,9.189646502871533,22.598949345478694,"Transport, extracellular"
DM_datp_m_,0.40292774718354873,0,84.62302484390139,198.83688957927228,Exchange/demand reaction
DM_dem2emgacpail_prot_hs_r_,-0.36899929879730065,0,4.1156708211620865,1.8969996378773066,Exchange/demand reaction
DM_dgpi_prot_hs_r_,-0.4995769948525809,0,14.278887016662908,4.764999446888268,Exchange/demand reaction
DM_dgtp_m_,-1,-12.736842105263158,52.38267872445323,NA,Exchange/demand reaction
DM_ethamp_r_,-1,-12.784905660377358,22.67441403230801,NA,Exchange/demand reaction
DM_mem2emgacpail_prot_hs_r_,0.5247999697643841,0,6.712942148992349,21.540179576037453,Exchange/demand reaction
DMANTIPYRINEte,-0.5015767605014693,0,-7.483945537642375,-22.546538374673016,"Transport, extracellular"
DNDPt11m,0.7030570384587851,0,10.233328812213102,58.691213188037274,"Transport, mitochondrial"
DNDPt14m,0.5646123303150136,0,3.935764363233322,14.143591747521691,"Transport, mitochondrial"
DNDPt15m,0.45014248948634833,0,1.7107965907488725,4.51189404468766,"Transport, mitochondrial"
DNDPt16m,0.48273847396474956,0,1.6907515075101172,4.84656635747602,"Transport, mitochondrial"
DNDPt18m,-0.3664858411802175,0,7.904044542174843,3.664380543515345,"Transport, mitochondrial"
DNDPt1m,0.34297195299809946,0,11.607292115214467,23.725422121810762,"Transport, mitochondrial"
DNDPt24m,-0.4331305891639619,0,10.580911254272221,4.1852396244760355,"Transport, mitochondrial"
DNDPt30m,-0.5853608475856062,0,19.44109843300942,5.084672419244001,"Transport, mitochondrial"
DNDPt37m,-0.43458976022849266,0,11.08461887172059,4.368745119885066,"Transport, mitochondrial"
DNDPt38m,0.42234258726598145,0,136.38422270524651,335.81337988327743,"Transport, mitochondrial"
DNDPt42m,0.6488680337488255,0,5.0953796271995815,23.92721083415826,"Transport, mitochondrial"
DNDPt43m,0.6861532647384662,0,0.9635155651859427,5.176523230393872,"Transport, mitochondrial"
DNDPt45m,0.3928525442324421,0,2.79487153043946,6.411694366822429,"Transport, mitochondrial"
DNDPt46m,0.4201188575808094,0,10.373799918854573,25.405256028977757,"Transport, mitochondrial"
DNDPt47m,-0.5101249530933061,0,3.708432871643998,1.202992324062791,"Transport, mitochondrial"
DNDPt49m,0.3780279993744261,0,2.4642060672270834,5.4596428029748125,"Transport, mitochondrial"
DNDPt4m,0.4858408332656304,0,8.177278712375276,23.631076526382564,"Transport, mitochondrial"
DNDPt52m,0.44514136115505426,0,8.31959147710604,21.668556475046277,"Transport, mitochondrial"
DNDPt58m,-0.3722392029594194,0,3.3738029802768508,1.5434198668780599,"Transport, mitochondrial"
DNDPt5m,0.45731830654063443,0,9.256293734633724,24.85686632289016,"Transport, mitochondrial"
DNDPt60m,-0.4353006522531772,0,24.626789786035566,9.689072535040797,"Transport, mitochondrial"
DNDPt61m,-0.4981657671140369,0,5.167264552824207,1.7308566914998693,"Transport, mitochondrial"
DNDPt63m,-0.33340537373038526,0,2.5575871355115587,1.2785862981627878,"Transport, mitochondrial"
DOLGLCP_Lter,0.39773873540484395,2.0346555598909772e-13,0.23991634096811673,0.5568021434238359,N-glycan synthesis
DOLGPP_Ler,0.34745209778223984,0,3.8529244547768844,7.955938746475534,N-glycan synthesis
DOLICHOL_Lter,0.39773873540484395,2.0346555598909772e-13,0.23991634096811673,0.5568021434238359,N-glycan synthesis
DOLPGT3_Ler,0.39773873540484395,2.0346555598909772e-13,0.23991634096811673,0.5568021434238359,N-glycan synthesis
DOPABMO,0.3303150339716118,0,4.026266322768807,7.998092971562827,Tyrosine metabolism
DOPAVESSEC,0.5293914737265846,0,2.955681648249333,9.605423742910254,"Transport, extracellular"
DTDPtn,-1,-12.833333333333334,466.61321073607206,NA,"Transport, nuclear"
DTTPtn,1,-12.88212927756654,-466.61321073607206,NA,"Transport, nuclear"
DUDPtn,-0.37416936369789305,0,-225.4808608206749,-495.10022850723266,"Transport, nuclear"
