Reaction,fc,pval,S1K1,S1K1_FC5,subSystem,rxnNames,geneRules,kegg,source
EX_acmana[e],0.6562940699009024,0,2.177607628688384,10.49373399210085,Exchange/demand reaction,Exchange of N-Acetyl-D-Mannosamine,NA,NA,NA
EX_dha[e],-2.565458546963185,0,395.9969088268995,-901.9150113471985,Exchange/demand reaction,Exchange of Glycerone,NA,NA,NA
EX_HC01440[e],-0.8498135378960295,0,131.6364654268965,10.687571812683107,Exchange/demand reaction,Exchange of 3-Keto-Beta-D-Galactose,NA,NA,NA
EX_HC01441[e],-0.926046262581421,0,-9.798046638714546,-255.17968080885112,Exchange/demand reaction,Exchange of Lactose-6P,NA,NA,NA
EX_HC01446[e],0.8498135378961843,0,-131.6364654268965,-10.687571812671198,Exchange/demand reaction,Exchange of 3-Ketolactose,NA,NA,NA
EX_HC02160[e],-0.9020094624491928,0,94.2299610276509,4.854678547498437,Exchange/demand reaction,Exchange of Gm2-Pool,NA,NA,NA
EX_HC02161[e],0.9020094624491928,0,-94.2299610276509,-4.854678547498437,Exchange/demand reaction,Exchange of Gm1-Pool,NA,NA,NA
EX_prpp[e],-1.1902512263181428,0,4.2751676334940365,-49.217507467298766,Exchange/demand reaction,Exchange of 5-O-Phosphonato-Alpha-D-Ribofuranosyl Diphosphate,NA,NA,NA
r0016,0.8704420200416398,0,4.263987584965847,61.559631868444754,Miscellaneous,Fe (II):Oxygen Oxidoreductase,1356.1 or (2512.1 and 2495.1 and 1356.1) or (94033.1),NA,"PMID:16405854,PMID:2154449,PMID:9162052,PMID:9722559"
r0021,-1,0,0,-57.35989897257108,Glutathione metabolism,Glutathione:NAD+ Oxidoreductase,2936.1,NA,"PMID:10781871,PMID:12821209,PMID:237878,PMID:31912,PMID:4380255,PMID:8981046,PMID:9621574"
r0022,-0.9149826030623865,9.190007422939234e-4,-0.03386862133378163,-0.7628770461120177,Glutathione metabolism,Glutathione:NAD+ Oxidoreductase,2936.1,NA,"PMID:10781871,PMID:12821209,PMID:237878,PMID:31912,PMID:4380255,PMID:8981046,PMID:9621574"
r0027,-0.5118381095119787,0,-96.27382804260999,-298.160190337497,Methionine and cysteine metabolism,NADPH:Coa-Glutathione Oxidoreductase,10587.1 or 7296.1,NA,PMID:18042542
r0047,0.6352438279405923,0,2.513021043301455,11.266162070245203,Purine catabolism,Adenosine 5-Monophosphate Phosphohydrolase,22978.1 or 84618.1 or 51251.1 or 30833.1 or 4907.1 or 93034.1 or 56953.1 or 100526794.1,NA,PMID:1550832
r0051,-1.1902512263181428,0,4.2751676334940365,-49.217507467298766,Purine catabolism,AMP:Pyrophosphate Phosphoribosyltransferase,3251.1 and 353.1,NA,"PMID:6778226,PMID:692402"
r0074,0.36350081910790494,0,-141.13630235276892,-65.88418546052026,Urea cycle,L-Glutamate 5-Semialdehyde:NAD+ Oxidoreductase,8659.1,NA,"PMID:1286669,PMID:2211729"
r0081,-0.44135269338470723,0,-6.686689006245975,-17.252168040283024,Citric acid cycle,L-Alanine:2-Oxoglutarate Aminotransferase,84706.1 or 2875.1,NA,"PMID:15663181,PMID:2088925,PMID:454616"
r0084,0.3898103048079294,0,1.9846102447791354,4.5202857258236975,Miscellaneous,Oxalosuccinate:NADP+ Oxidoreductase (Decarboxylating),3417.1 or 3418.1,NA,"PMID:16489927,PMID:9866202"
r0113,0.6562940699009024,0,2.177607628688384,10.49373399210085,Aminosugar metabolism,UDP-N-Acetyl-D-Glucosamine 2-Epimerase,10020.1,NA,"PMID:10431835,PMID:15748884,PMID:3740419,PMID:4337336,PMID:5063602,PMID:5417402,PMID:9305887,PMID:9305888"
r0119,0.38991966855343213,0,1.629721899512403,3.712925012733243,Purine catabolism,Guanosine 5-Triphosphate Pyrophosphohydrolase,3704.1,NA,"PMID:11278832,PMID:4310599"
